"Word","Translation","Prediction_vanilla","Prediction_attention","Result_attention"
"gond","गोंद","गोंड","गोंड","Yes"
"kaabilegour","काबिलेगौर","काबिलेगोर","काबिलेगौर","Yes"
"mate","मेट","मटे","मेट","Yes"
"chayal","चायल","चयाल","चायल","Yes"
"jeetanewalon","जीतनेवालों","जीतानेवालों","जीतनेवालों","Yes"
"doda","डोडा","दोड़ा","डोडा","Yes"
"pendulum","पेंडुलम","पेंडुलुम","पेंडुलम","Yes"
"sameekshaakartaa","समीक्षाकर्ता","समीक्षकारता","समीक्षाकर्ता","Yes"
"liberation","लिब्रेशन","लिबरेशन","लिबरेशन","Yes"
"chitranshi","चित्रांशी","चित्रणशी","चित्रांशी","Yes"
"mukabaale","मुकबाले","मुकाबले","मुकबाले","Yes"
"lindon","लिंडन","लिंडों","लिंडन","Yes"
"kakkad","कक्कड़","ककक्ड","कक्कड़","Yes"
"damle","दामले","डामले","दामले","Yes"
"egmor","एगमोर","एजमोर","एगमोर","Yes"
"race","रेस","रसेस","रेस","Yes"
"prabodhini","प्रबोधिनी","प्रबोधिनि","प्रबोधिनी","Yes"
"berwyn","बर्विन","बेरविन","बर्विन","Yes"
"tarutal","तरुतल","तरूतल","तरुतल","Yes"
"jenner","जेनर","जेन्नर","जेनर","Yes"
"rupa","रूपा","रुपा","रूपा","Yes"
"swaarthparak","स्वार्थपरक","स्वार्थप्रक","स्वार्थपरक","Yes"
"webb","वेब","वेब्ब","वेब","Yes"
"varnavyavasthaavaadiyon","वर्णव्यवस्थावादियों","वर्णव्यास्थावादियों","वर्णव्यवस्थावादियों","Yes"
"peedablyootee","पीडब्ल्यूटी","पीडबल्यूटि","पीडब्ल्यूटी","Yes"
"ridge","रिज","रिजग","रिज","Yes"
"swaasthyaheenataa","स्वास्थ्यहीनता","स्वास्थ्यीनता","स्वास्थ्यहीनता","Yes"
"physician","फिजिशियन","फिजिसियन","फिजिशियन","Yes"
"sipah","सिपाह","सिपह","सिपाह","Yes"
"aurora","ऑरोरा","औरोरा","औरोरा","Yes"
"durghtna","दुर्घटना","दुर्घ्टना","दुर्घटना","Yes"
"swatantrasingh","स्वतंत्रसिंह","स्वतंत्रसंघिंह","स्वतंत्रसिंह","Yes"
"columbia","कोलंबिया","कलंबिया","कोलंबिया","Yes"
"mithaiyaan","मिठाइयाँ","मिठाइयां","मिठाइयाँ","Yes"
"briggs","ब्रिग्स","ब्रिगस","ब्रिग्स","Yes"
"agvaai","अगवाई","अग्वाई","अगवाई","Yes"
"purooshottamapur","पुरूषोत्तमपुर","पूरूषोत्तमपुर","पुरूषोत्तमपुर","Yes"
"mejbani","मेज़बानी","मेजबानी","मेजबानी","Yes"
"toledo","टोलेडो","तोलेडो","टोलेडो","Yes"
"faadi","फाड़ी","फादी","फाड़ी","Yes"
"maathaloo","माथलू","माठलू","माथलू","Yes"
"maddy","मैडी","मैड्ी","मैडी","Yes"
"atmaen","आत्माएं","आत्मानें","आत्माएं","Yes"
"moran","मोरन","मोरान","मोरन","Yes"
"cutlery","कटलरी","कुटलरी","कटलरी","Yes"
"neelaabh","नीलाभ","नीलभ","नीलाभ","Yes"
"championship","चैंपियनशिप","चैम्पियोशिप","चैंपियनशिप","Yes"
"namdhari","नामधारी","नमधारी","नामधारी","Yes"
"alba","अल्बा","अलबा","अल्बा","Yes"
"helper","हेल्पर","हेलपर","हेल्पर","Yes"
"suchi","सूची","सुची","सूची","Yes"
"rp","आरपी","आरपीपी","आरपी","Yes"
"palanpur","पालनपुर","पलानपुर","पालनपुर","Yes"
"austin","ऑस्टिन","आस्टिन","ऑस्टिन","Yes"
"tcns","टीसीएनएस","टीएसनसीएस","टीसीएनएस","Yes"
"svaayattshasan","स्वायत्तशासन","स्वयत्तश्सन","स्वायत्तशासन","Yes"
"safradganj","सफरदगंज","सफरादगंज","सफरदगंज","Yes"
"varnavyavasthaawaadiyon","वर्णव्यवस्थावादियों","वर्णव्यास्थावादियों","वर्णव्यवस्थावादियों","Yes"
"beverages","बेवरेजेस","बेवेरेजेस","बेवरेजेस","Yes"
"silva","सिल्वा","सिलवा","सिल्वा","Yes"
"advait","अद्वैत","एडवैट","अद्वैत","Yes"
"fontana","फोंटाना","फोंटना","फोंटाना","Yes"
"jaden","जड़ें","जडें","जड़ें","Yes"
"nsiu","एनएसआईयू","एनएसआईयूआई","एनएसआईयू","Yes"
"mufalisi","मुफलिसी","मुफलिसि","मुफलिसी","Yes"
"graahakonne","ग्राहकोंने","ग्राहकोन्ने","ग्राहकोंने","Yes"
"munaf","मुनाफ","मुनफ","मुनाफ","Yes"
"niswarth","निस्वार्थ","निस्वर्थ","निस्वार्थ","Yes"
"kshetradwaaraa","क्षेत्रद्वारा","क्षेत्रदावारा","क्षेत्रद्वारा","Yes"
"makhdumpur","मखदुमपुर","मखदमुपुर","मखदुमपुर","Yes"
"aabru","आबरू","आब्रू","आबरू","Yes"
"urvarakon","उर्वरकों","उर्वारकों","उर्वरकों","Yes"
"wankshetra","वनक्षेत्र","वांक्षेत्र","वनक्षेत्र","Yes"
"sevamukta","सेवामुक्त","सेवामुक्ता","सेवामुक्त","Yes"
"raghuram","रघुराम","रघुरम","रघुराम","Yes"
"bhasapa","भासपा","भसापा","भासपा","Yes"
"pulatskar","पुलत्स्कर","पुलात्सकर","पुलत्स्कर","Yes"
"oeeef","ओईएफ","ओईफी","ओईएफ","Yes"
"putliyan","पुतलियां","पुत्लियां","पुतलियां","Yes"
"mejbaani","मेज़बानी","मेजबानी","मेजबानी","Yes"
"warnavyavasthaavaadiyon","वर्णव्यवस्थावादियों","वर्णव्यास्थावादियों","वर्णव्यवस्थावादियों","Yes"
"ubhregaa","उभरेगा","उभ्रेगा","उभरेगा","Yes"
"james","जेम्स","जेमेस","जेम्स","Yes"
"gadbadbadee","गड़बड़बड़ी","गडबड़बड़ी","गड़बड़बड़ी","Yes"
"loveland","लवलैंड","लवेलंड","लवलैंड","Yes"
"vivekadhin","विवेकाधीन","विवेकाधिन","विवेकाधीन","Yes"
"purvaasiyon","पुरवासियों","पूर्वासियों","पुरवासियों","Yes"
"chhawindra","छविंद्र","छवींद्र","छविंद्र","Yes"
"brahraachaarinee","ब्रह्राचारिणी","ब्रह्रचारिणी","ब्रह्राचारिणी","Yes"
"koshadhikaaree","कोषाधिकारी","कोषधाकिराी","कोषाधिकारी","Yes"
"vaigyanikata","वैज्ञानिकता","वैज्ञनिकता","वैज्ञानिकता","Yes"
"mhagranth","महाग्रंथ","मह्गरंथ","महाग्रंथ","Yes"
"saraaymohiuddeenpur","सरायमोहिउद्दीनपुर","सरामुयोहीदददनपुर","सरायमोहिउद्दीनपुर","Yes"
"pushpa","पुष्प","पुष्पा","पुष्पा","Yes"
"gm","जीएम","जीएमएम","जीएम","Yes"
"gurdaspur","गुरदासपुर","गुरदसपुर","गुरदासपुर","Yes"
"shubhprabhaa","शुभप्रभा","शुभप्रभाा","शुभप्रभा","Yes"
"montclair","मोंटक्लेयर","मोंटकैलर","मोंटक्लेयर","Yes"
"hr","एचआर","एचआरयू","एचआर","Yes"
"sendha","सेंधा","सेंढा","सेंधा","Yes"
"pravrittivigyanon","प्रवृत्तिविज्ञानों","प्रवृतिविज्ञान्नों","प्रवृत्तिविज्ञानों","Yes"
"bagad","बगड़","बागड़","बगड़","Yes"
"holding","होल्डिंग","हॉल्डिंग","होल्डिंग","Yes"
"stockton","स्टॉकटन","स्टॉकक्टन","स्टॉकटन","Yes"
"purooshottamaachary","पुरूषोत्तमाचार्य","पूरूष्टोतमच्यारी","पुरूषोत्तमाचार्य","Yes"
"naqaab","नक़ाब","नकाब","नक़ाब","Yes"
"apar","अपर","अपार","अपर","Yes"
"asthetic","एस्थेटिक","एस्थिटिक","एस्थेटिक","Yes"
"dhahaane","ढहाने","धहाने","ढहाने","Yes"
"amy","एमी","एएमआई","एमी","Yes"
"naxaliyon","नक्सलियों","नक्सालियों","नक्सलियों","Yes"
"valve","वाल्व","वाल्वे","वाल्व","Yes"
"mhajan","महाजन","महजान","महाजन","Yes"
"moses","मोसेस","मोज़स","मोसेस","Yes"
"jismafaroshee","जिस्मफरोशी","जिस्माफरोशी","जिस्मफरोशी","Yes"
"bhadkaya","भड़काया","भड़कया","भड़काया","Yes"
"chandrapur","चंद्रपुर","चंद्रापुर","चंद्रपुर","Yes"
"dhaah","ढाह","धाह","ढाह","Yes"
"radhakrushnadas","राधाकृष्णदास","राधाक्षुणदासास","राधाकृष्णदास","Yes"
"kaansting","कांस्टिंग","काँस्टिंग","कांस्टिंग","Yes"
"bagh","बाग","बाघ","बाग","Yes"
"grenite","ग्रेनाइट","ग्रेनिटे","ग्रेनाइट","Yes"
"sangheeyataa","संघीयता","संघियता","संघीयता","Yes"
"media","मीडिया","मेडिया","मीडिया","Yes"
"pichde","पिछड़े","पिचडे","पिछड़े","Yes"
"arthavyawasthataaon","अर्थव्यवस्थताओं","अर्थव्यवस्थाताओं","अर्थव्यवस्थताओं","Yes"
"laphj","लफ्ज","लाफजज","लफ्ज","Yes"
"kribarabh","कृबरभ","क्रिबारभ","कृबरभ","Yes"
"prakashakah","प्रकाशकः","प्रकाशकाह","प्रकाशकः","Yes"
"bengaluru","बेंगलुरु","बेंगलुरू","बेंगलुरु","Yes"
"kyusaiks","क्यूसैक्स","क्युसैक्स","क्यूसैक्स","Yes"
"bachti","बचती","बच्ती","बचती","Yes"
"vishwasniiyataa","विश्वसनीयता","विश्वासिनयतता","विश्वसनीयता","Yes"
"pakaude","पकौड़े","पकौडे","पकौड़े","Yes"
"grahanakaal","ग्रहणकाल","ग्रहनकाल","ग्रहणकाल","Yes"
"beck","बेक","बीकेईएक","बेक","Yes"
"vershan","वर्शन","वेरशान","वर्शन","Yes"
"ghumakkdi","घुमक्कड़ी","घुमक्कडी","घुमक्कड़ी","Yes"
"theateron","थिएटरों","थीटरें","थियेटरों","Yes"
"dhatna","धटना","धतना","धटना","Yes"
"jaanaakaree","जानाकरी","जानकरी","जानाकरी","Yes"
"aasmatee","आसमती","आस्मति","आसमती","Yes"
"punahsthapana","पुनःस्थापना","पुनःस्थपना","पुनःस्थापना","Yes"
"stuti","स्तुति","स्टुटि","स्तुति","Yes"
"nibhaaegee","निभाएगी","निभागी","निभाएगी","Yes"
"brigadier","ब्रिगेडियर","ब्रिगाडियर","ब्रिगेडियर","Yes"
"ambikaaon","अम्बिकाओं","अंबिकाओं","अम्बिकाओं","Yes"
"dharmapatriyaan","धर्मपत्रियां","धर्मपत्रियाँ","धर्मपत्रियां","Yes"
"dealership","डीलरशिप","डीलरिशिप","डीलरशिप","Yes"
"mugaalataa","मुगालता","मुगलता","मुगालता","Yes"
"raktaabh","रक्ताभ","रक्तभभ","रक्ताभ","Yes"
"bhrashtachareeyon","भ्रष्टाचारीयों","भ्रष्टाचारियों","भ्रष्टाचारीयों","Yes"
"urgent","अर्जेंट","यूर्जेंट","अर्जेंट","Yes"
"jagadeeshachandra","जगदीशचंद्र","जगददीशचन्द्र","जगदीशचंद्र","Yes"
"praansangalee","प्राणसंगली","प्रांसंगली","प्राणसंगली","Yes"
"ambikaon","अम्बिकाओं","अंबिकाओं","अम्बिकाओं","Yes"
"malegaon","मालेगांव","मलेगांव","मालेगांव","Yes"
"mahamantra","महामंत्र","महामंत्रा","महामंत्र","Yes"
"laalaparee","लालपरी","लालापरी","लालपरी","Yes"
"worth","वर्थ","वोर्थ","वर्थ","Yes"
"machaye","मचाए","मचाये","मचाए","Yes"
"lekhakganon","लेखकगणों","लेखाकगणों","लेखकगणों","Yes"
"dibnoo","डिबनू","दिबनू","डिबनू","Yes"
"flin","फ्लिन","फ़्लिन","फ्लिन","Yes"
"arellano","अरेलानो","अरेल्लानो","अरेलानो","Yes"
"megapixal","मेगापिक्सल","मेगापीक्सल","मेगापिक्सल","Yes"
"ortega","ओर्टेगा","ओर्तेगा","ओर्टेगा","Yes"
"neg","नेग","एनगी","नेग","Yes"
"prathamik","प्राथमिक","प्रथमिक","प्राथमिक","Yes"
"baleshwar","बालेश्वर","बलेश्वर","बालेश्वर","Yes"
"karaahanaa","कराहना","करहना","कराहना","Yes"
"financiers","फाइनेंसर्स","फाइनांसर्स","फाइनेंसर्स","Yes"
"poorneshwari","पूर्णेश्वरी","पूर्नेश्वरी","पूर्णेश्वरी","Yes"
"visabal","विसबल","विसाबल","विसबल","Yes"
"yatraein","यात्राएं","यतराएं","यात्राएं","Yes"
"sunteck","सनटेक","संटेक","सनटेक","Yes"
"kpo","केपीओ","केपो","केपीओ","Yes"
"ratnaabhooshan","रत्नाभूषण","रत्नभूषण","रत्नाभूषण","Yes"
"chkkar","चक्कर","चककर","चक्कर","Yes"
"dvc","डीवीसी","डीवीसीवी","डीवीसी","Yes"
"arthawyavasthataaon","अर्थव्यवस्थताओं","अर्थव्यवस्थाताओं","अर्थव्यवस्थताओं","Yes"
"purooshottamachary","पुरूषोत्तमाचार्य","पुरूषोत्तमचार्यी","पुरूषोत्तमाचार्य","Yes"
"shikaayatkartaa","शिकायतकर्ता","शिकायकतर्ता","शिकायतकर्ता","Yes"
"haqeeqat","हकीकत","हकीक़त","हकीकत","Yes"
"pythagoras","पाइथागोरस","पायथागोरस","पाइथागोरस","Yes"
"kapolkalpana","कपोलकल्पना","काोपलकल्पना","कपोलकल्पना","Yes"
"rozlyn","रोजलिन","रॉजलिन","रोजलिन","Yes"
"bangbandhu","बंगबंधु","बांगबंधु","बंगबंधु","Yes"
"visheshagyataon","विशेषज्ञताओं","विशेषाज्ञताओं","विशेषज्ञताओं","Yes"
"mardani","मरदानी","मर्दनी","मरदानी","Yes"
"prawrutriyon","प्रवृत्रियों","प्रवुर्त्रियों","प्रवृत्रियों","Yes"
"sehgal","सहगल","सेहगल","सहगल","Yes"
"elbaino","एल्बाइनो","एल्बानो","एल्बाइनो","Yes"
"jalbhrav","जलभराव","जलभ्रव","जलभराव","Yes"
"montgomery","मोंटगोमरी","मांटोगमेरी","मोंटगोमरी","Yes"
"vishwasniiya","विश्वसनीय","विश्वसनिया","विश्वसनीय","Yes"
"reson","रेसों","रिसों","रेसों","Yes"
"haraval","हरावल","हरवल","हरावल","Yes"
"naeedilli","नईदिल्ली","नैीदली","नईदिल्ली","Yes"
"baramula","बारामुला","बारामूला","बारामुला","Yes"
"manassas","मनासस","मनासास","मनासस","Yes"
"karyakaryakartaon","कार्यकार्यकर्ताओं","कार्यकर्यकर्ताओं","कार्यकार्यकर्ताओं","Yes"
"chandrabali","चंद्रबली","चंद्राबली","चंद्रबली","Yes"
"aarekhah","आरेखः","आरेखाह","आरेखः","Yes"
"pramukhkarmiyon","प्रमुखकर्मियों","प्रमुखकार्मियों","प्रमुखकर्मियों","Yes"
"theateron","थियेटरों","थीटरें","थियेटरों","Yes"
"paratrooper","पैराट्रूपर","परतारूपर","पैराट्रूपर","Yes"
"kashmir","कश्मीर","कश्मिर","कश्मीर","Yes"
"bhutto","भुट्टो","भूत्तो","भुट्टो","Yes"
"kaaryayojna","कार्ययोजना","कार्ययोजन्","कार्ययोजना","Yes"
"francisko","फ्रांसिस्को","फ्रेंसिक्को","फ्रांसिस्को","Yes"
"mhavidya","महाविद्या","महविद्या","महाविद्या","Yes"
"megapixel","मेगापिक्सल","मेगेपाक्सिले","मेगापिक्सल","Yes"
"authoritee","ऑथोरिटी","औथोरिटी","ऑथोरिटी","Yes"
"ubala","उबाला","उबला","उबाला","Yes"
"sim","सीम","सिम","सिम","Yes"
"lynchburg","लिंचबर्ग","लिंचबुर्ग","लिंचबर्ग","Yes"
"khatakhataaegee","खटखटाएगी","खततखातीगी","खटखटाएगी","Yes"
"bhopal","भोपाल","भोपल","भोपाल","Yes"
"mrutyuniwaarak","मृत्युनिवारक","मृत्युनिवाकर","मृत्युनिवारक","Yes"
"somi","सोमी","सोमि","सोमी","Yes"
"yanit","यनित","यानित","यनित","Yes"
"gulaabaag","गुलाबाग","गुलाबाग़","गुलाबाग","Yes"
"protects","प्रोटेक्ट्स","प्रॉटेक्ट्स","प्रोटेक्ट्स","Yes"
"praveenchand","प्रवीनचंद","प्रवीचन्द","प्रवीनचंद","Yes"
"torrent","टोरेंट","टॉरेंट","टोरेंट","Yes"
"tuning","ट्यूनिंग","तुनिंग","ट्यूनिंग","Yes"
"breweries","ब्रेवरीज","ब्रीवरीज","ब्रेवरीज","Yes"
"tyre","टायर","टाइरे","टायर","Yes"
"calumet","कैल्यूमेट","कैलुमेट","कैल्यूमेट","Yes"
"bhalla","भल्ला","भाल्ला","भल्ला","Yes"
"csi","सीएसआई","सीएसआईआई","सीएसआई","Yes"
"rapping","रैपिंग","रैप्ंग","रैपिंग","Yes"
"aaboorod","आबूरोड","आबूरोद","आबूरोड","Yes"
"pathyakramon","पाठ्यक्रमों","पाठ्यकर्मों","पाठ्यक्रमों","Yes"
"wiwekadhikaron","विवेकाधिकारों","विवेकाधीकरों","विवेकाधिकारों","Yes"
"parosne","परोसने","परोस्ने","परोसने","Yes"
"morepen","मोरपेन","मोरीपेन","मोरपेन","Yes"
"beard","बियर्ड","बीअर्ड","बियर्ड","Yes"
"nibhaegi","निभाएगी","निभागी","निभाएगी","Yes"
"chhednaa","छेड़ना","छेदना","छेड़ना","Yes"
"schultz","शुल्ट्ज","शचलत्ज","शुल्ट्ज","Yes"
"squash","स्क्वाश","स्क्वैश","स्क्वाश","Yes"
"apj","एपीजे","एपजजे","एपीजे","Yes"
"jagriti","जागृति","जगृति","जागृति","Yes"
"jamshedpur","जमशेदपुर","जामशेदपुर","जमशेदपुर","Yes"
"beechbachaav","बीचबचाव","बीचबाचाव","बीचबचाव","Yes"
"equities","इक्विटीज","इक्विटीज़","इक्विटीज","Yes"
"tonic","टॉनिक","टोनिक","टॉनिक","Yes"
"varun","वरुण","वरून","वरुण","Yes"
"doudaate","दौड़ाते","दौदाते","दौड़ाते","Yes"
"himamaanav","हिममानव","हिमामानव","हिममानव","Yes"
"mariyo","मारियो","मरियो","मारियो","Yes"
"dubana","डुबाना","दुबना","डुबाना","Yes"
"lebalon","लेबलों","लेबालों","लेबलों","Yes"
"shreekrushnan","श्रीकृष्णन","श्रीकृष्णन्त","श्रीकृष्णन","Yes"
"anyay","अन्याय","अन्यय","अन्याय","Yes"
"chrom","क्रोम","चरोम","क्रोम","Yes"
"sweccha","स्वेच्छा","स्वेचा","स्वेच्छा","Yes"
"underwood","अंडरवुड","अंडरवूड","अंडरवुड","Yes"
"sirtee","सिरती","सिर्ती","सिरती","Yes"
"daka","डाका","डका","डाका","Yes"
"koraput","कोरापुट","कोरापूट","कोरापुट","Yes"
"diamond","डायमंड","डायमॉन्ड","डायमंड","Yes"
"walters","वाल्टर्स","वॉल्टर्स","वाल्टर्स","Yes"
"keeti","कीति","कीटि","कीति","Yes"
"ploskee","प्लोस्की","प्लोसकी","प्लोस्की","Yes"
"electromagic","इलेक्ट्रोमैजिक","इलेक्ट्रोमाजिक","इलेक्ट्रोमैजिक","Yes"
"waterbury","वाटरबरी","वाटरब्री","वाटरबरी","Yes"
"luis","लुईस","लूइस","लुइस","Yes"
"aryama","अर्यमा","आर्यमा","अर्यमा","Yes"
"mukaddamon","मुकद्दमों","मुकददममों","मुकद्दमों","Yes"
"dekhiyegaa","देखियेगा","देखिएगा","देखियेगा","Yes"
"kundal","कुंडल","कुंदल","कुंडल","Yes"
"karyakaaryakartaon","कार्यकार्यकर्ताओं","कार्यकारायकर्ताओं","कार्यकार्यकर्ताओं","Yes"
"gsm","जीएसएम","जीएसएमएम","जीएसएम","Yes"
"swarthparak","स्वार्थपरक","स्वर्थपर्क","स्वार्थपरक","Yes"
"poorwajanmon","पूर्वजन्मों","पूर्वजनमों","पूर्वजन्मों","Yes"
"jamloki","जमलोकी","जामलोकी","जमलोकी","Yes"
"kelly","केली","केल्ली","केली","Yes"
"tinplate","टिनप्लेट","टिंप्लेट","टिनप्लेट","Yes"
"mezbaan","मेजबान","मेज़बान","मेज़बान","Yes"
"kathfodave","कठफोड़वे","कठोड़ावे","कठफोड़वे","Yes"
"sitaram","सीताराम","सिताराम","सीताराम","Yes"
"bairakpur","बैरकपुर","बैराकपुर","बैरकपुर","Yes"
"convocation","कन्वोकेशन","कनवोकेशन","कन्वोकेशन","Yes"
"jaipur","जयपुर","जैपुर","जयपुर","Yes"
"rajyamantreesvatantra","राज्यमंत्रीस्वतंत्र","राज्यमंत्त्रीसंत्र","राज्यमंत्रीस्वतंत्र","Yes"
"labs","लैब्स","लेब्स्स","लैब्स","Yes"
"lairi","लैरी","लैरिय","लैरी","Yes"
"baker","बेकर","बकर","बेकर","Yes"
"castaneda","कास्टानेडा","कास्तानेडा","कास्टानेडा","Yes"
"packard","पैकर्ड","पैकार्ड","पैकर्ड","Yes"
"saga","सागा","सगा","सागा","Yes"
"udan","उड़ान","उदान","उड़ान","Yes"
"adhiwaktaagan","अधिवक्तागण","अधिवक्तागन","अधिवक्तागण","Yes"
"webuniyadee","वेबुनियादी","वेबुनियाडी","वेबुनियादी","Yes"
"insaani","इनसानी","इंसानी","इनसानी","Yes"
"padengee","पड़ेंगी","पदेंगी","पड़ेंगी","Yes"
"jagtap","जगताप","जगतपप","जगताप","Yes"
"taraashakar","तराशकर","ताराशककर","तराशकर","Yes"
"aarya","आर्यो","आर्य","आर्य","Yes"
"saathsaath","साथसाथ","साठसाठ","साथसाथ","Yes"
"lx","एलएक्स","एलएक्सएक","एलएक्स","Yes"
"rollins","रोलिंस","रॉलिंस","रोलिंस","Yes"
"nigmaayukt","निगमायुक्त","निग्मायुक्त","निगमायुक्त","Yes"
"nihlani","निहलानी","निहलनी","निहलानी","Yes"
"prakaashit","प्रकाषित","प्रकाशित","प्रकाषित","Yes"
"bulandshahr","बुलंदशहर","बुलंदशाहर","बुलंदशहर","Yes"
"baagbagichon","बागबगीचों","बागबागिचों","बागबगीचों","Yes"
"pradadhikariyon","प्रदाधिकारियों","प्रादाधिकारियों","प्रदाधिकारियों","Yes"
"svaayattshaasan","स्वायत्तशासन","स्वयत्तशासन","स्वायत्तशासन","Yes"
"vidagdhaa","विदग्धा","विद्घगा","विदग्धा","Yes"
"guna","गुना","गुणा","गुना","Yes"
"mahoney","महोनी","महोने","महोनी","Yes"
"zunheboto","ज़ुन्हेबोटो","जुनहेबोटो","ज़ुन्हेबोटो","Yes"
"jayalalitaa","जयललिता","जयलिता","जयललिता","Yes"
"farmer","फार्मर","फरमेर","फार्मर","Yes"
"nacl","एनएसीएल","एनसीएल","एनएसीएल","Yes"
"bull","बुल","बुल्ल","बुल","Yes"
"khagyaar","खग्यार","खाग्यार","खग्यार","Yes"
"bhulon","भूलों","भुलों","भूलों","Yes"
"zuban","ज़ुबान","जुबान","ज़ुबान","Yes"
"ware","वेयर","वारे","वेयर","Yes"
"vedon","वेदों","वेडन","वेदों","Yes"
"dubana","डूबना","दुबना","डुबाना","Yes"
"chouhan","चौहान","चौहन","चौहान","Yes"
"apex","एपेक्स","अपेक्स","एपेक्स","Yes"
"dalton","डाल्टन","डल्टन","डाल्टन","Yes"
"shrikhand","श्रीखंड","श्रीखण्ड","श्रीखंड","Yes"
"textiles","टेक्सटाइल्स","टेक्सटिल्स","टेक्सटाइल्स","Yes"
"dushkriyaa","दुष्क्रिया","दुष्कृरया","दुष्क्रिया","Yes"
"baraamad","बरामद","बारामद","बरामद","Yes"
"franciska","फ्रांसिस्का","फ्रेंसिक्सा","फ्रांसिस्का","Yes"
"fond","फोंड","फॉन्ड","फोंड","Yes"
"truth","ट्रुथ","त्रुथ","ट्रुथ","Yes"
"apcotex","एपकोटेक्स","एपोकटेक्स","एपकोटेक्स","Yes"
"chataa","चता","छता","चता","Yes"
"multimedia","मल्टीमीडिया","मल्टीमेडिया","मल्टीमीडिया","Yes"
"dabolim","डाबोलिम","डबोलिम","डाबोलिम","Yes"
"phaaeebrets","फ़ाईब्रेट्स","फेबेअर्ट्स","फ़ाईब्रेट्स","Yes"
"patel","पटेल","पतेल","पटेल","Yes"
"crosse","क्रॉस","क्रोसे","क्रॉस","Yes"
"time","टाइम","टिमे","टाइम","Yes"
"vrutton","वृत्तों","व्रुटन","वृत्तों","Yes"
"ubhrega","उभरेगा","उभ्रेगा","उभरेगा","Yes"
"mansfield","मैन्सफील्ड","मैनसफिल्ड","मैन्सफील्ड","Yes"
"chhetri","छेत्री","छेतरी","छेत्री","Yes"
"pratinidhikaree","प्रतिनिधिकारी","प्रतिनिधिकरी","प्रतिनिधिकारी","Yes"
"penshandhaariyon","पेंशनधारियों","पेंशाधारियों","पेंशनधारियों","Yes"
"parchiyon","पर्चियों","परचियों","पर्चियों","Yes"
